#addr;title
http://bato.to/reader#73c2e8d930b8fb2a;Vol.1 Ch.1: There Are 5 Boys
http://bato.to/reader#c75b7451d16b2814;Vol.1 Ch.2: Operation Peeping
http://bato.to/reader#970a30de9a33860d;Vol.1 Ch.3: Prison
http://bato.to/reader#6a22811d9a31de0a;Vol.1 Ch.4: Stick to the Barricade
http://bato.to/reader#a0f28f4928bc6d74;Vol.1 Ch.5: Four Leaf
http://bato.to/reader#a72f7802ce3a9dbb;Vol.1 Ch.6: On the Side of the Crows Nest
http://bato.to/reader#7af7f88edd41bebf;Vol.1 Ch.7: 5 Person of Wasteland
http://bato.to/reader#f9171e19faff4dc7;Vol.1 Ch.8: Inside the Jailhouse
http://bato.to/reader#c138ad3cf293da15;Vol.1 Ch.8: Inside the Jailhouse
http://bato.to/reader#443d0390fd4d358e;Vol.2 Ch.9: He Who Knew Too Much
http://bato.to/reader#7af8bc2dd15f7efb;Vol.2 Ch.9: Too Acquainted Boy
http://bato.to/reader#de842237d3519460;Vol.2 Ch.10: Help!
http://bato.to/reader#95f2ca56c3bd5b05;Vol.2 Ch.10: Help!
http://bato.to/reader#f075a972f359ec98;Vol.2 Ch.11: First Mission
http://bato.to/reader#4556bbbc7d3f687c;Vol.2 Ch.12: The One Thing I know About Her
http://bato.to/reader#1467a721f256eed2;Vol.2 Ch.12: One Matter I Know About Her
http://bato.to/reader#5b5b69fb42fa5b4e;Vol.2 Ch.13: Training Day
http://bato.to/reader#2450c2b731ec8ba9;Vol.2 Ch.14: Kiyoshi Return
http://bato.to/reader#951dfb38f2596eb8;Vol.2 Ch.15: Brokeback Prison
http://bato.to/reader#95df90b6c14a093b;Vol.2 Ch.16: Underworld
http://bato.to/reader#c60651d18a5dccb3;Vol.2 Ch.17: Panic Room
http://bato.to/reader#c3a57685797520e9;Vol.2 Ch.18: Adults won't Understand
http://bato.to/reader#280fa21b86f9649b;Vol.3 Ch.19: The Time of Decision
http://bato.to/reader#c2647970b816779d;Vol.3 Ch.19: The Time of Decision
http://bato.to/reader#0775fe59022f71b0;Vol.3 Ch.20: Pretty Woman
http://bato.to/reader#15094de8e84ec088;Vol.3 Ch.21: Sacrifice
http://bato.to/reader#7b58fe6c694b9bde;Vol.3 Ch.22: Sunshine Cleaning
http://bato.to/reader#e013e4cbfa632d4f;Vol.3 Ch.23: Tommorow Never Die
http://bato.to/reader#4eacaa581fd8a1cd;Vol.3 Ch.24: Midnight Express
http://bato.to/reader#04417cc74f0a051f;Vol.3 Ch.25: The Great Escape
http://bato.to/reader#36e4c0613d9e3b1c;Vol.3 Ch.26: Get Out
http://bato.to/reader#ac1af2c46b73415f;Vol.3 Ch.27: Take me to Sumo, she said
